OCC_CLS,PRIM_OCC,PROP_ADDR,PROP_CITY,PROP_ST,PROP_ZIP,LONGITUDE,LATITUDE
Residential,Single Family Dwelling,5 EAGLE LANE,POUGHKEEPSIE,New York,12601,-73.91612915,41.72754303
Residential,Manufactured Home,11 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89058644,41.72726578
Residential,Manufactured Home,63 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.8964523,41.72735513
Residential,Single Family Dwelling,7 EAGLE LANE,POUGHKEEPSIE,New York,12601,-73.91576116,41.72756502
Residential,Single Family Dwelling,1308 ROUTE 44,POUGHKEEPSIE,New York,12603,-73.83837035,41.72678656
Education,Colleges/Universities,80 MASCOT DRIVE,POUGHKEEPSIE,New York,12601,-73.90638925,41.72738599
Residential,Single Family Dwelling,18 WALDORF PLACE,POUGHKEEPSIE,New York,12601,-73.91945237,41.72760333
Residential,Manufactured Home,28 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89391374,41.72732226
Residential,Manufactured Home,9 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89035094,41.72730966
Residential,Single Family Dwelling,9 EAGLE LANE,POUGHKEEPSIE,New York,12601,-73.91548415,41.72759522
Residential,Manufactured Home,1 NAPLES DRIVE,POUGHKEEPSIE,New York,12603,-73.89540254,41.72739569
Residential,Manufactured Home,26 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89370783,41.72735984
Residential,Single Family Dwelling,38 VAN WYCK DRIVE,POUGHKEEPSIE,New York,12601,-73.90759543,41.72753818
Residential,Manufactured Home,7 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89012232,41.72735382
Residential,Single Family Dwelling,11 EAGLE LANE,POUGHKEEPSIE,New York,12601,-73.91515179,41.72762475
Residential,Single Family Dwelling,41 VAN WYCK DRIVE,POUGHKEEPSIE,New York,12601,-73.90816866,41.72757038
Residential,Manufactured Home,24 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89349798,41.72739595
Residential,Manufactured Home,44 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89587053,41.72745369
Residential,Single Family Dwelling,15 EAGLE LANE,POUGHKEEPSIE,New York,12601,-73.91489134,41.72765187
Residential,Single Family Dwelling,1289 DUTCHESS TURNPIKE,POUGHKEEPSIE,New York,12603,-73.84187392,41.72692384
